Homepage Folder,Source Page,Broken Link,Error,Status Code,Context
Sonatype Nexus Repository,https://help.sonatype.com/en/create-a-helm-repository.html,https://helm.ngc.nvidia.com/nvidia,HTTP 404,404,Set the remote storage URL to https://helm.ngc.nvidia.com/nvidia
Sonatype Nexus Repository,https://help.sonatype.com/en/release-specific-upgrade-instructions.html,https://support.sonatype.com/hc/en-us/articles/360058028653-Error-during-SSO-login-Authentication-failed-due-to-SAML-error-after-upgrading-Nexus-Repo-3-or-IQ-Server,HTTP 404,404,"... if not done you may encounter an authentication error. See Error during SSO login ""Authentication failed due to SAML error"" after upgrading Nexus Repository 3 or IQ Server for more information...."
Sonatype Nexus Repository,https://help.sonatype.com/en/deploy-nexus-repository-to-google-cloud.html,https://github.com/sonatype/nxrm3-ha-repository/blob/NEXUS-42970_add_gcp_doc/sample-gcp-ha-yamls/gcp-ha-namespaces.yaml,HTTP 404,404,Fill out a Namespaces YAML with the correct information for your deployment.
Sonatype Nexus Repository,https://help.sonatype.com/en/nexus-repository-upgrade-paths.html,https://support.sonatype.com/hc/en-us/articles/222159808-How-to-Upgrade-Repository-Manager-3-0-0-m7-to-3-0-0-final,HTTP 404,404,Upgrade to 3.0.0
Sonatype Nexus Repository,https://help.sonatype.com/en/resilient-nexus-repository-deployment-to-google-cloud.html,https://github.com/sonatype/nxrm3-ha-repository/blob/NEXUS-42970_add_gcp_doc/sample-gcp-ha-yamls/gcp-ha-namespaces.yaml,HTTP 404,404,Fill out a Namespaces YAML with the correct information for your deployment.
Sonatype Nexus Repository,https://help.sonatype.com/en/2021-release-notes.html,https://support.sonatype.com/hc/en-us/articles/4409326330003,HTTP 404,404,This release includes a security fix for a server side request forgery vulnerability. See CVE-2021-43293 for full details.
Sonatype Nexus Repository,https://help.sonatype.com/en/2021-release-notes.html,https://support.sonatype.com/hc/en-us/articles/4408801690515,HTTP 404,404,This release includes a security fix for an incorrect access control. See the CVE-2021-42568 for full details.
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://www.dropwizard.io/en/release-1.3.x/manual/core.html,HTTP 404,404,IQ Server uses Dropwizard 1.3.x logging configuration
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://www.dropwizard.io/en/release-1.3.x/manual/configuration.html,HTTP 404,404,IQ Server uses Dropwizard 1.3.x requestLog configuration
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://logback.qos.ch/xref/ch/qos/logback/access/PatternLayout.html,HTTP 404,404,"As of IQ Server 1.43, the request log line format is configurable using patterns defined by the Logback Access PatternLayout class."
Sonatype Nexus Repository,https://help.sonatype.com/en/certificates-and-secure-connections.html,https://www.techopedia.com/definition/5594/java-development-kit-jdk,HTTP 404,404,... command-line program comes with the Java Development Kit ( JDK ). The examples in this guide will use keytool. For more in...
Sonatype Nexus Repository,https://help.sonatype.com/en/docker-image-analysis.html,https://wiki.jenkins.io/display/JENKINS/Nexus+Platform+Plugin,HTTP 404,404,...evaluation. You need a running instance of Jenkins with the Sonatype Platform plugin to run policy evaluations. Specify an agent node that has D...
Sonatype Nexus Repository,https://help.sonatype.com/en/media-page.html,https://help.sonatype.com/en/404-page.html,Link to 404 error page (likely broken reference),404,Prev
Sonatype Nexus Repository,https://help.sonatype.com/en/404-page.html,https://help.sonatype.com/en/404-page.html#content-wrapper,Link to 404 error page (likely broken reference),404,Skip to main content
Sonatype Nexus Repository,https://help.sonatype.com/en/openid-connect.html,https://sso.your.domain/auth/realms/nexus,Connection Failed (persistent),0,"Authorization URL - The authorization URL (authorization endpoint) of your OP, for example https://sso.your.domain/auth/realms/nexus"
Sonatype Nexus Repository,https://help.sonatype.com/en/create-a-go-repository.html,http://https://proxy.golang.org,Connection Failed (persistent),0,"Remote storage URL, for example https://proxy.golang.org"
